id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue,collaborators
262236251,SR-Sunny-Raj/Hacktoberfest2021-DSA,https://api.github.com/repos/SR-Sunny-Raj/Hacktoberfest2021-DSA,242,1108,FALSE,2773,1,114,471
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11218,2485,FALSE,3780,885,1872,457
299900184,bhaveshlohana/HacktoberFest2020-Contributions,https://api.github.com/repos/bhaveshlohana/HacktoberFest2020-Contributions,189,1044,FALSE,2347,11,25,454
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57707,13641,FALSE,12204,411,10565,438
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,655,106,FALSE,12569,53,224,428
93438176,ZoranPandovski/al-go-rithms,https://api.github.com/repos/ZoranPandovski/al-go-rithms,1144,1833,FALSE,7423,26,196,428
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53882,18986,FALSE,7804,279,11373,424
127184470,ambujraj/hacktoberfest2018,https://api.github.com/repos/ambujraj/hacktoberfest2018,140,1068,FALSE,2557,21,6,424
331769873,amzn/amazon-ray,https://api.github.com/repos/amzn/amazon-ray,34,15,FALSE,10637,10,0,420
401780066,girlscript/winter-of-contributing,https://api.github.com/repos/girlscript/winter-of-contributing,929,1658,FALSE,10156,1175,2923,416
129317474,tensorflow/docs,https://api.github.com/repos/tensorflow/docs,5070,4785,FALSE,10439,0,0,397
290981320,microsoft/fastformers,https://api.github.com/repos/microsoft/fastformers,618,36,FALSE,4324,0,18,394
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7664,2376,FALSE,10231,431,2432,391
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21768,5128,FALSE,3867,680,272,391
235856774,tensorflow/docs-l10n,https://api.github.com/repos/tensorflow/docs-l10n,429,508,FALSE,15888,0,0,390
349817814,tlc-pack/tenset,https://api.github.com/repos/tlc-pack/tenset,37,12,FALSE,5842,7,7,389
379411992,tlc-pack/relax,https://api.github.com/repos/tlc-pack/relax,59,16,FALSE,10428,45,70,388
412498607,sonumahajan/All_Program_helper,https://api.github.com/repos/sonumahajan/All_Program_helper,34,272,FALSE,1676,1,24,386
173249347,generalized-iou/g-tensorflow-models,https://api.github.com/repos/generalized-iou/g-tensorflow-models,76,19,FALSE,3176,4,1,382
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6197,1426,FALSE,8232,1315,2937,375
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72662,45437,FALSE,8865,1051,6023,374
291217084,microsoft/tensorflow-directml,https://api.github.com/repos/microsoft/tensorflow-directml,345,20,FALSE,63876,21,34,373
263748045,NVIDIA/tensorflow,https://api.github.com/repos/NVIDIA/tensorflow,337,58,FALSE,64194,26,40,371
441354843,alibaba/DeepRec,https://api.github.com/repos/alibaba/DeepRec,116,46,FALSE,65360,37,33,368
125344817,VLOGroup/tensorflow-icg,https://api.github.com/repos/VLOGroup/tensorflow-icg,17,10,FALSE,25960,0,3,362
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3583,963,FALSE,11817,546,714,359
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2676,1149,FALSE,4813,639,2560,334
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15942,1670,FALSE,5830,542,3200,322
147851824,aws-samples/eks-workshop,https://api.github.com/repos/aws-samples/eks-workshop,657,1007,FALSE,1031,114,281,301
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,21813,7706,FALSE,2600,233,7415,294
42408083,dask/distributed,https://api.github.com/repos/dask/distributed,1295,586,FALSE,5187,1076,2101,290
300091001,bajajvinamr/HacktoberFest2020,https://api.github.com/repos/bajajvinamr/HacktoberFest2020,144,684,FALSE,1219,9,4,288
46374199,IntelRealSense/librealsense,https://api.github.com/repos/IntelRealSense/librealsense,5728,4085,FALSE,14382,293,8004,278
185701977,huaweicloud/ModelArts-Lab,https://api.github.com/repos/huaweicloud/ModelArts-Lab,891,867,FALSE,2536,60,111,276
292271265,SpooderManEXE/Hacktoberfest2020-Expert,https://api.github.com/repos/SpooderManEXE/Hacktoberfest2020-Expert,57,262,FALSE,1272,0,1,276
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1472,FALSE,5371,567,1172,265
141200054,tensorflow/examples,https://api.github.com/repos/tensorflow/examples,5791,5986,FALSE,2115,0,0,254
261861733,keras-team/keras-io,https://api.github.com/repos/keras-team/keras-io,1355,1210,FALSE,1214,322,131,251
91730359,GoogleCloudPlatform/professional-services,https://api.github.com/repos/GoogleCloudPlatform/professional-services,1982,965,FALSE,1820,22,124,220
412813939,kokonior/Python-Projects,https://api.github.com/repos/kokonior/Python-Projects,19,137,FALSE,721,0,6,217
81887991,microsoft/AirSim,https://api.github.com/repos/microsoft/AirSim,12670,3587,FALSE,3560,574,2705,203
299019177,shivangdubey/HacktoberFest2020,https://api.github.com/repos/shivangdubey/HacktoberFest2020,36,304,FALSE,636,8,33,196
159249114,tensorflow/addons,https://api.github.com/repos/tensorflow/addons,1438,538,FALSE,1497,69,885,194
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5898,651,FALSE,15109,92,1276,192
301953275,BalajiG2000/Code_Dump,https://api.github.com/repos/BalajiG2000/Code_Dump,19,158,FALSE,664,0,2,190
212170850,vikumkbv/Hacktoberfest-2k19,https://api.github.com/repos/vikumkbv/Hacktoberfest-2k19,32,148,FALSE,637,7,2,176
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5793,4622,FALSE,7436,106,69,175
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10937,1551,FALSE,2905,257,1583,172
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3833,964,FALSE,19489,531,1136,165
211103525,InnovativeCoder/Innovative-Hacktober,https://api.github.com/repos/InnovativeCoder/Innovative-Hacktober,35,170,FALSE,866,0,4,162
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15357,2318,FALSE,2277,1533,629,160
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2900,630,FALSE,7235,53,2054,155
99846383,horovod/horovod,https://api.github.com/repos/horovod/horovod,12102,2005,FALSE,1300,334,1806,154
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17588,1583,FALSE,5300,591,2483,153
152056923,tkn-tub/ns3-gym,https://api.github.com/repos/tkn-tub/ns3-gym,302,144,FALSE,13849,35,33,150
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3409,1264,FALSE,8089,480,1060,150
300164847,vijaygupta18/Hacktober-2020,https://api.github.com/repos/vijaygupta18/Hacktober-2020,53,142,FALSE,648,0,3,149
267223745,oneapi-src/oneAPI-samples,https://api.github.com/repos/oneapi-src/oneAPI-samples,259,283,FALSE,1030,31,58,146
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1691,539,FALSE,4970,132,690,145
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,141,217,FALSE,3511,37,438,144
212158024,atyant-yadav/Hacktoberfest2020,https://api.github.com/repos/atyant-yadav/Hacktoberfest2020,222,876,FALSE,430,4,13,133
379554918,iqiyi/xgboost-serving,https://api.github.com/repos/iqiyi/xgboost-serving,104,13,FALSE,4533,1,0,130
44996115,fasrc/User_Codes,https://api.github.com/repos/fasrc/User_Codes,34,12,FALSE,723,2,0,129
111340129,keras-team/autokeras,https://api.github.com/repos/keras-team/autokeras,8321,1349,FALSE,1378,114,754,128
136265021,albumentations-team/albumentations,https://api.github.com/repos/albumentations-team/albumentations,9613,1233,FALSE,773,330,413,124
9626741,Nuitka/Nuitka,https://api.github.com/repos/Nuitka/Nuitka,6374,359,FALSE,10583,235,1508,121
6942323,bgruening/galaxytools,https://api.github.com/repos/bgruening/galaxytools,95,174,FALSE,6290,99,103,120
95862535,apple/coremltools,https://api.github.com/repos/apple/coremltools,2537,397,FALSE,1021,191,918,120
157936206,tensorflow/agents,https://api.github.com/repos/tensorflow/agents,2175,595,FALSE,2191,155,452,116
300134298,sd2001/HacktoberFest2020,https://api.github.com/repos/sd2001/HacktoberFest2020,22,95,FALSE,486,0,2,114
50881110,aimacode/aima-python,https://api.github.com/repos/aimacode/aima-python,6229,2988,FALSE,1190,122,266,112
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5394,1347,FALSE,3203,25,422,110
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2210,1139,FALSE,2174,81,326,110
300406803,3NCRY9T3R/H4CKT0B3RF3ST-2020,https://api.github.com/repos/3NCRY9T3R/H4CKT0B3RF3ST-2020,60,121,FALSE,660,0,0,109
27452807,broadinstitute/gatk,https://api.github.com/repos/broadinstitute/gatk,1166,471,FALSE,4547,1107,3271,104
36804486,tqdm/tqdm,https://api.github.com/repos/tqdm/tqdm,21075,1073,FALSE,1928,328,561,104
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3850,348,FALSE,4214,19,488,103
234634164,aws/deep-learning-containers,https://api.github.com/repos/aws/deep-learning-containers,352,219,FALSE,1882,101,63,103
187248482,OSGeo/grass-addons,https://api.github.com/repos/OSGeo/grass-addons,59,97,FALSE,8337,47,109,100
161556784,tensorflow/federated,https://api.github.com/repos/tensorflow/federated,1750,425,FALSE,4596,62,288,100
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2466,712,FALSE,3442,407,854,99
371198718,GoogleCloudPlatform/vertex-ai-samples,https://api.github.com/repos/GoogleCloudPlatform/vertex-ai-samples,168,117,FALSE,1655,17,101,96
189305903,tensorflow/text,https://api.github.com/repos/tensorflow/text,887,180,FALSE,799,39,152,96
300509670,Aman22sharma/Hacktoberfest2021_beginner,https://api.github.com/repos/Aman22sharma/Hacktoberfest2021_beginner,106,320,FALSE,417,7,9,95
131881622,NVIDIA/DeepLearningExamples,https://api.github.com/repos/NVIDIA/DeepLearningExamples,7586,2149,FALSE,1387,171,544,93
147386085,udacity/deep-learning-v2-pytorch,https://api.github.com/repos/udacity/deep-learning-v2-pytorch,4494,4975,FALSE,386,7,145,93
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2766,770,FALSE,11174,90,669,91
149430917,microsoft/recommenders,https://api.github.com/repos/microsoft/recommenders,12149,2105,FALSE,8228,147,599,91
58882601,polyaxon/traceml,https://api.github.com/repos/polyaxon/traceml,434,211,FALSE,9847,6,7,90
281528773,intel/neural-compressor,https://api.github.com/repos/intel/neural-compressor,288,55,FALSE,2477,10,82,90
293648492,Learn-Write-Repeat/Open-contributions,https://api.github.com/repos/Learn-Write-Repeat/Open-contributions,48,455,FALSE,1456,27,9,89
119894375,kubeflow/examples,https://api.github.com/repos/kubeflow/examples,1111,605,FALSE,531,11,378,87
124910572,mozilla/bugbug,https://api.github.com/repos/mozilla/bugbug,379,233,FALSE,4959,248,616,83
114747226,deepfakes/faceswap,https://api.github.com/repos/deepfakes/faceswap,40256,11485,FALSE,1722,13,784,80
54110811,GDGAhmedabad/Awesome-Learning-Resources,https://api.github.com/repos/GDGAhmedabad/Awesome-Learning-Resources,615,343,FALSE,736,0,14,80
50527925,Vaa3D/vaa3d_tools,https://api.github.com/repos/Vaa3D/vaa3d_tools,66,62,FALSE,7952,8,1,79
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3692,477,FALSE,3015,219,1126,78
154412076,IntelAI/models,https://api.github.com/repos/IntelAI/models,336,140,FALSE,2528,24,30,78
253846879,determined-ai/determined,https://api.github.com/repos/determined-ai/determined,1620,201,FALSE,5113,23,233,77
292049260,Niketkumardheeryan/ML-CaPsule,https://api.github.com/repos/Niketkumardheeryan/ML-CaPsule,60,73,FALSE,853,109,207,77
200902575,ai-techsystems/internShowcase,https://api.github.com/repos/ai-techsystems/internShowcase,32,112,FALSE,360,0,0,77
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1336,308,FALSE,2739,97,800,76
85799683,christophM/interpretable-ml-book,https://api.github.com/repos/christophM/interpretable-ml-book,4003,848,FALSE,1934,27,151,75
100249425,fizyr/keras-retinanet,https://api.github.com/repos/fizyr/keras-retinanet,4263,1964,FALSE,1147,10,1255,75
167349656,FederatedAI/FATE,https://api.github.com/repos/FederatedAI/FATE,3912,1156,FALSE,11334,603,931,74
79821807,yandexdataschool/Practical_RL,https://api.github.com/repos/yandexdataschool/Practical_RL,4797,1463,FALSE,1347,37,147,72
155619942,tensorflow/model-optimization,https://api.github.com/repos/tensorflow/model-optimization,1193,268,FALSE,790,154,157,72
214003948,PennyLaneAI/qml,https://api.github.com/repos/PennyLaneAI/qml,280,84,FALSE,714,20,70,72
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10571,1120,FALSE,1571,493,1293,71
164554832,ageron/handson-ml2,https://api.github.com/repos/ageron/handson-ml2,19280,9460,FALSE,915,187,295,71
334167971,ashishsahu1/ML-ProjectYard,https://api.github.com/repos/ashishsahu1/ML-ProjectYard,88,114,FALSE,844,3,264,70
69576253,GoogleCloudPlatform/cloudml-samples,https://api.github.com/repos/GoogleCloudPlatform/cloudml-samples,1453,866,FALSE,1198,0,207,69
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,2973,412,FALSE,2009,354,387,68
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15627,9850,FALSE,2143,197,86,67
71194771,pythonbrasil/talks,https://api.github.com/repos/pythonbrasil/talks,149,71,FALSE,272,26,11,67
83074537,freesurfer/freesurfer,https://api.github.com/repos/freesurfer/freesurfer,290,161,FALSE,31295,17,142,66
100464123,microsoft/MMdnn,https://api.github.com/repos/microsoft/MMdnn,5503,973,FALSE,1084,324,289,66
256401220,alexeygrigorev/mlbookcamp-code,https://api.github.com/repos/alexeygrigorev/mlbookcamp-code,1578,425,FALSE,615,82,64,66
123870583,tensorflow/tfjs-examples,https://api.github.com/repos/tensorflow/tfjs-examples,5547,1946,FALSE,740,0,0,65
125819750,StarKnowData/trainee,https://api.github.com/repos/StarKnowData/trainee,33,108,FALSE,568,6,0,65
78865098,udacity/deep-learning,https://api.github.com/repos/udacity/deep-learning,3806,4453,FALSE,406,1,80,65
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6895,535,FALSE,3607,381,767,64
372489086,prathimacode-hub/ML-ProjectKart,https://api.github.com/repos/prathimacode-hub/ML-ProjectKart,130,145,FALSE,2653,42,277,62
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4247,986,FALSE,2997,30,421,61
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,560,117,FALSE,2905,57,159,59
35236880,AllenInstitute/AllenSDK,https://api.github.com/repos/AllenInstitute/AllenSDK,248,124,FALSE,6760,345,1269,58
145453331,JohnSnowLabs/spark-nlp-workshop,https://api.github.com/repos/JohnSnowLabs/spark-nlp-workshop,643,377,FALSE,3315,1,72,58
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,228,94,FALSE,7488,343,1567,57
96946693,tensorflow/tpu,https://api.github.com/repos/tensorflow/tpu,4633,1659,FALSE,1261,253,204,56
145148726,Azure/MachineLearningNotebooks,https://api.github.com/repos/Azure/MachineLearningNotebooks,2838,2056,FALSE,1261,315,1052,55
184657328,NVIDIA/TensorRT,https://api.github.com/repos/NVIDIA/TensorRT,4829,1199,FALSE,453,188,2195,55
241095326,adap/flower,https://api.github.com/repos/adap/flower,729,185,FALSE,1060,146,171,54
172114524,rapidsai-community/notebooks-contrib,https://api.github.com/repos/rapidsai-community/notebooks-contrib,378,226,FALSE,1450,30,49,53
301480514,cscodershub/Hacktoberfest-2021,https://api.github.com/repos/cscodershub/Hacktoberfest-2021,50,119,FALSE,237,11,17,53
23809180,NUbots/NUbots,https://api.github.com/repos/NUbots/NUbots,28,12,FALSE,9412,62,59,52
168622088,IDAES/idaes-pse,https://api.github.com/repos/IDAES/idaes-pse,87,127,FALSE,9140,60,315,52
48593532,tensorpack/tensorpack,https://api.github.com/repos/tensorpack/tensorpack,6154,1827,FALSE,2940,7,1343,52
180455099,data-integration-toolkit/ditk,https://api.github.com/repos/data-integration-toolkit/ditk,18,74,FALSE,1238,0,0,52
346639494,openvinotoolkit/openvino_notebooks,https://api.github.com/repos/openvinotoolkit/openvino_notebooks,525,109,FALSE,511,16,119,52
119419202,wandb/examples,https://api.github.com/repos/wandb/examples,623,186,FALSE,811,0,76,51
272452525,huggingface/notebooks,https://api.github.com/repos/huggingface/notebooks,668,370,FALSE,535,73,30,51
300190262,apoorvdwi/Ds-Algo-HacktoberFest,https://api.github.com/repos/apoorvdwi/Ds-Algo-HacktoberFest,13,63,FALSE,212,2,1,51
196375756,kkech/UdacityOpenSource,https://api.github.com/repos/kkech/UdacityOpenSource,23,194,FALSE,165,0,0,51
40307735,flatironinstitute/CaImAn,https://api.github.com/repos/flatironinstitute/CaImAn,442,294,FALSE,3991,41,540,50
190658443,keras-team/keras-tuner,https://api.github.com/repos/keras-team/keras-tuner,2462,318,FALSE,996,185,251,50
162747292,tensorflow/privacy,https://api.github.com/repos/tensorflow/privacy,1543,347,FALSE,772,73,87,50
79976022,keras-team/keras-contrib,https://api.github.com/repos/keras-team/keras-contrib,1536,656,FALSE,579,155,87,50
138826968,XiaoMi/mace,https://api.github.com/repos/XiaoMi/mace,4564,789,FALSE,3344,51,617,49
100326126,plaidml/plaidml,https://api.github.com/repos/plaidml/plaidml,4327,405,FALSE,1987,275,322,49
126528713,tensorflow/model-analysis,https://api.github.com/repos/tensorflow/model-analysis,1138,243,FALSE,1293,19,51,49
186845829,MerkulovDaniil/optim,https://api.github.com/repos/MerkulovDaniil/optim,49,57,FALSE,875,2,0,49
85989537,idaholab/raven,https://api.github.com/repos/idaholab/raven,149,85,FALSE,10957,196,836,48
71305435,VertaAI/modeldb,https://api.github.com/repos/VertaAI/modeldb,1383,250,FALSE,3701,81,52,48
131730966,linuxacademy/googledataengineer,https://api.github.com/repos/linuxacademy/googledataengineer,46,55,FALSE,886,1,0,48
263687600,openvinotoolkit/nncf,https://api.github.com/repos/openvinotoolkit/nncf,395,99,FALSE,1230,23,212,47
45074604,dataiku/dataiku-contrib,https://api.github.com/repos/dataiku/dataiku-contrib,87,75,FALSE,947,21,45,47
135504777,keras-team/keras-preprocessing,https://api.github.com/repos/keras-team/keras-preprocessing,1008,448,FALSE,288,78,102,46
130270774,adoptium/aqa-test-tools,https://api.github.com/repos/adoptium/aqa-test-tools,19,52,FALSE,688,77,204,45
191811913,colearninglounge/co-learning-lounge,https://api.github.com/repos/colearninglounge/co-learning-lounge,488,251,FALSE,345,5,1,45
127351529,mlcommons/training,https://api.github.com/repos/mlcommons/training,1259,446,FALSE,290,16,239,44
263364731,mlco2/codecarbon,https://api.github.com/repos/mlco2/codecarbon,353,45,FALSE,1305,58,110,43
303680708,IEEESFIT1/OpenOctober,https://api.github.com/repos/IEEESFIT1/OpenOctober,27,51,FALSE,1203,5,380,43
215489464,PoCInnovation/Workshops,https://api.github.com/repos/PoCInnovation/Workshops,331,60,FALSE,1161,0,2,43
110072728,DeepBCI/Deep-BCI,https://api.github.com/repos/DeepBCI/Deep-BCI,222,150,FALSE,732,0,4,43
121410317,sdsc/sdsc-summer-institute-2018,https://api.github.com/repos/sdsc/sdsc-summer-institute-2018,11,50,FALSE,247,0,1,43
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8289,3068,FALSE,2672,11,1770,42
208313010,NVIDIA-Merlin/HugeCTR,https://api.github.com/repos/NVIDIA-Merlin/HugeCTR,563,131,FALSE,2607,11,286,42
118620583,mozilla/TTS,https://api.github.com/repos/mozilla/TTS,5596,901,FALSE,2184,6,533,42
257688216,quic/aimet,https://api.github.com/repos/quic/aimet,838,158,FALSE,1239,94,782,42
5844399,dpinney/omf,https://api.github.com/repos/dpinney/omf,90,58,FALSE,7505,0,357,40
108329371,fastmachinelearning/hls4ml,https://api.github.com/repos/fastmachinelearning/hls4ml,603,222,FALSE,1476,123,202,40
67353330,esokolov/ml-course-hse,https://api.github.com/repos/esokolov/ml-course-hse,1835,791,FALSE,826,14,83,40
151525500,sql-machine-learning/sqlflow,https://api.github.com/repos/sql-machine-learning/sqlflow,4440,660,FALSE,2222,246,778,39
252778465,NVIDIA-Merlin/NVTabular,https://api.github.com/repos/NVIDIA-Merlin/NVTabular,638,98,FALSE,1018,185,567,39
241987128,natethegreate/hent-AI,https://api.github.com/repos/natethegreate/hent-AI,1186,86,FALSE,489,16,9,39
261059191,airctic/icevision,https://api.github.com/repos/airctic/icevision,567,91,FALSE,1234,58,510,38
222554670,awslabs/sagemaker-debugger,https://api.github.com/repos/awslabs/sagemaker-debugger,117,55,FALSE,809,57,33,38
295559343,google-research/federated,https://api.github.com/repos/google-research/federated,278,98,FALSE,565,7,38,38
98541760,SmartDataAnalytics/MA-INF-4222-NLP-Lab,https://api.github.com/repos/SmartDataAnalytics/MA-INF-4222-NLP-Lab,15,43,FALSE,519,0,2,38
51863547,ageron/handson-ml,https://api.github.com/repos/ageron/handson-ml,23969,12649,FALSE,509,118,433,38
191797052,xulabs/aitom,https://api.github.com/repos/xulabs/aitom,76,66,FALSE,427,22,27,38
135559956,sentinel-hub/eo-learn,https://api.github.com/repos/sentinel-hub/eo-learn,843,257,FALSE,2205,10,139,37
105699750,yzhao062/pyod,https://api.github.com/repos/yzhao062/pyod,5224,1031,FALSE,1651,142,141,37
15688257,RoboJackets/roboracing-software,https://api.github.com/repos/RoboJackets/roboracing-software,68,55,FALSE,1346,29,182,37
320315156,Jayshah6699/datascience-mashup,https://api.github.com/repos/Jayshah6699/datascience-mashup,33,50,FALSE,1045,8,151,37
107595270,matterport/Mask_RCNN,https://api.github.com/repos/matterport/Mask_RCNN,21212,10486,FALSE,203,1814,831,37
76752632,fastai/courses,https://api.github.com/repos/fastai/courses,5265,2758,FALSE,172,28,51,37
320591199,neuralmagic/sparseml,https://api.github.com/repos/neuralmagic/sparseml,802,58,FALSE,1299,12,131,36
366098084,Ayush7614/Soomvaar,https://api.github.com/repos/Ayush7614/Soomvaar,38,52,FALSE,409,14,90,36
175458710,sdsc/sdsc-summer-institute-2019,https://api.github.com/repos/sdsc/sdsc-summer-institute-2019,18,43,FALSE,181,0,2,36
6604719,InsightSoftwareConsortium/ITKTubeTK,https://api.github.com/repos/InsightSoftwareConsortium/ITKTubeTK,24,52,FALSE,6608,3,4,35
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24932,6644,FALSE,1723,7,1353,35
204796113,tensorflow/neural-structured-learning,https://api.github.com/repos/tensorflow/neural-structured-learning,894,173,FALSE,554,1,67,35
72132009,ucbrise/clipper,https://api.github.com/repos/ucbrise/clipper,1310,271,FALSE,305,114,268,35
80643958,rstudio/keras,https://api.github.com/repos/rstudio/keras,729,264,FALSE,2730,96,936,34
123026206,lappis-unb/tais,https://api.github.com/repos/lappis-unb/tais,84,39,FALSE,1441,41,387,34
252701518,neurodata/ProgLearn,https://api.github.com/repos/neurodata/ProgLearn,31,41,FALSE,1434,46,223,34
64699999,LSSTC-DSFP/LSSTC-DSFP-Sessions,https://api.github.com/repos/LSSTC-DSFP/LSSTC-DSFP-Sessions,233,200,FALSE,1489,3,1,33
239201565,serengil/deepface,https://api.github.com/repos/serengil/deepface,3140,721,FALSE,990,3,625,33
168629464,MiracleYoung/You-are-Pythonista,https://api.github.com/repos/MiracleYoung/You-are-Pythonista,620,699,FALSE,685,0,2,33
106340034,microsoft/samples-for-ai,https://api.github.com/repos/microsoft/samples-for-ai,568,212,FALSE,437,9,6,33
81245484,google/eng-edu,https://api.github.com/repos/google/eng-edu,601,341,FALSE,245,0,0,33
239982831,whayoung27/AI-Burning-Day_Result,https://api.github.com/repos/whayoung27/AI-Burning-Day_Result,15,37,FALSE,184,0,0,33
